Feature,Importance_Score
MonthlyIncome,0.08261595357013549
Age,0.07561926565297082
TotalWorkingYears,0.0753085784535728
DailyRate,0.05625702091068575
MonthlyRate,0.051725135306080736
DistanceFromHome,0.04860249549920356
HourlyRate,0.04677353631422518
OverTime,0.04448794437655388
YearsAtCompany,0.042434160744018144
NumCompaniesWorked,0.03547248442984964
YearsWithCurrManager,0.033407074116253634
JobRole,0.03205194874480581
PercentSalaryHike,0.03071445771503965
WorkLifeBalance,0.02854012589056707
EnvironmentSatisfaction,0.028424205412791604
